id,X,Y,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
37,-73.963915929844603,40.789177463798801,29C-AM-1007-06,AM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
38,-73.957956433862705,40.795933779502697,38C-PM-1014-09,PM,2018-10-14,Adult,Black,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
39,-73.957464809754299,40.789250842862202,31H-PM-1008-02,PM,2018-10-08,Juvenile,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
40,-73.970252675330997,40.770599958822203,8H-AM-1017-06,AM,2018-10-17,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
41,-73.957964594041400,40.791861349840701,34F-AM-1007-01,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
42,-73.967325341730501,40.774950525298102,13H-PM-1010-02,PM,2018-10-10,Adult,Gray,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,False
43,-73.959593319540900,40.790584733236898,32E-AM-1007-13,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
44,-73.960222211670796,40.793779699421002,35C-AM-1007-05,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
45,-73.960260992081402,40.794288304556602,35C-PM-1013-03,PM,2018-10-13,,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
46,-73.968063507094897,40.779249873646997,17E-AM-1017-05,AM,2018-10-17,Adult,Black,Above Ground,Branch,False,False,False,False,False,,False,False,False,False,False,False,False,False
47,-73.980166643540102,40.768690533921202,2B-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
48,-73.967563432687697,40.781347735250698,19D-AM-1007-01,AM,2018-10-07,Juvenile,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
49,-73.958497064321307,40.798288634869600,40B-AM-1019-03,AM,2018-10-19,Juvenile,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
50,-73.976029824117802,40.768195436691101,3E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
51,-73.956880214981794,40.797239913381603,39C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
52,-73.972464243639394,40.769052644110900,6G-AM-1008-02,AM,2018-10-08,Juvenile,Gray,Ground Plane,bush,False,False,False,False,False,,False,False,False,False,False,False,False,False
53,-73.969017583853400,40.776043272001701,14F-AM-1007-05,AM,2018-10-07,Juvenile,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
54,-73.970408282135594,40.769028098595598,6I-PM-1013-06,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,playing with #5,False,False,False,False,False,False,False,False
55,-73.968491071227206,40.776881164002099,15F-PM-1010-05,PM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
56,-73.976867481294207,40.773523264887203,8B-PM-1012-02,PM,2018-10-12,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,False,,False,False,False,False,False,False,False,False
57,-73.979708486661295,40.769888524134899,3A-PM-1017-06,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
58,-73.952819267977006,40.792313040279303,36I-AM-1017-02,AM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
59,-73.974563003849198,40.769260262874496,5E-AM-1008-06,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
60,-73.959500233950806,40.790336578869400,32E-PM-1017-13,PM,2018-10-17,Adult,Gray,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
61,-73.974182499229400,40.768948665796302,5F-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,hiding nut,False,False,False,False,False,False,False,False
62,-73.974924390118900,40.776139355178103,11B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
63,-73.968381325558994,40.778014344377901,16E-PM-1018-06,PM,2018-10-18,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,False,,False,False,False,False,False,False,False,False
64,-73.969424032750894,40.775589812667398,13F-AM-1007-02,AM,2018-10-07,Adult,Cinnamon,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
125,-73.974622909464301,40.774846706196897,10B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
65,-73.968900097895499,40.782836473523602,20B-PM-1013-10,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,drank from a pond of rain water,False,False,False,False,False,False,False,False
66,-73.980452886754705,40.769675365598602,3A-PM-1017-05,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
67,-73.957624599245506,40.787386251000100,29H-PM-1006-01,PM,2018-10-06,Adult,Gray,Above Ground,,False,False,False,False,False,sitting,False,False,False,False,False,False,False,False
68,-73.966600793563799,40.784509813156703,23C-PM-1014-03,PM,2018-10-14,Adult,Gray,Above Ground,,False,False,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
69,-73.961484836089994,40.792264552190503,33C-PM-1007-03,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
70,-73.954665418414606,40.794763924149102,38G-PM-1020-09,PM,2018-10-20,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
71,-73.966711402721401,40.776880470247299,16G-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
72,-73.953003556464296,40.792182245761303,36I-PM-1007-07,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
73,-73.961569657767299,40.795127862239902,35A-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
74,-73.964474836001003,40.788384010474900,28C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,gathering acorns,False,False,False,False,False,False,False,False
75,-73.961070559286796,40.791482966105100,32D-AM-1013-06,AM,2018-10-13,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,False,False,False,False
76,-73.968845448358493,40.784530128816300,22A-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,trash can,False,False,False,False,False,,False,False,False,False,False,False,False,False
77,-73.957823716835904,40.798095947103398,40B-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
78,-73.968827120240107,40.780971944530897,19C-PM-1018-01,PM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
79,-73.961708874992794,40.794458508236701,35A-PM-1013-06,PM,2018-10-13,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
80,-73.970182482587205,40.776653057929302,14E-AM-1008-09,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
81,-73.967641049748096,40.776604351297401,15G-PM-1019-05,PM,2018-10-19,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
82,-73.970872605072103,40.772357203023603,10F-AM-1007-02,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False
83,-73.954145346581697,40.798216222376404,42E-PM-1012-06,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
84,-73.968360829597600,40.784292740532699,22B-AM-1013-04,AM,2018-10-13,Adult,Cinnamon,Ground Plane,Under bench,False,False,False,False,False,,False,False,False,False,False,False,False,False
85,-73.968052057988999,40.777338666528003,15F-PM-1010-06,PM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
86,-73.978718087073602,40.771587786327402,5A-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,near 65th St arch,False,False,False,False,False,,False,False,False,False,False,False,False,False
87,-73.956590586827602,40.789565406854599,32H-PM-1006-01,PM,2018-10-06,,Gray,Above Ground,in the European Beech,False,False,False,False,False,,False,False,False,False,False,False,False,False
88,-73.956575973361097,40.799246167480199,42C-AM-1007-02,AM,2018-10-07,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
89,-73.955153949830603,40.798738465625597,41D-AM-1014-01,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,digging,False,False,False,False,False,False,False,False
90,-73.964197181396699,40.781353795943502,21G-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
